n,size,block_type,rt,acc,answer,changed_element,matrix_1,matrix_2
6,"[3, 3]",experiment,1.2029931545257568,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_14.png', 'images/images/3_13.png', 'images/images/3_16.png', 'images/images/3_3.png', 'images/images/3_1.png', 'images/images/3_10.png']","['images/images/3_14.png', 'images/images/3_13.png', 'images/images/3_2.png', 'images/images/3_3.png', 'images/images/3_1.png', 'images/images/3_10.png']"
3,"[3, 3]",experiment,0.9522559642791748,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_14.png']","['images/images/3_2.png', 'images/images/3_13.png', 'images/images/3_14.png']"
6,"[3, 3]",experiment,1.2277519702911377,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_27.png', 'images/images/3_3.png', 'images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_1.png', 'images/images/3_10.png']","['images/images/3_27.png', 'images/images/3_2.png', 'images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_1.png', 'images/images/3_10.png']"
4,"[3, 3]",experiment,2.207535982131958,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_13.png', 'images/images/3_1.png', 'images/images/3_9.png', 'images/images/3_26.png']","['images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_9.png', 'images/images/3_26.png']"
4,"[3, 3]",experiment,2.498728036880493,1,images/images/3_26.png,images/images/3_26.png,"['images/images/3_13.png', 'images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_27.png']","['images/images/3_26.png', 'images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_27.png']"
4,"[3, 3]",experiment,0.8597400188446045,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_3.png', 'images/images/3_27.png', 'images/images/3_1.png', 'images/images/3_9.png']","['images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_1.png', 'images/images/3_9.png']"
3,"[3, 3]",experiment,0.9313900470733643,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_10.png', 'images/images/3_13.png', 'images/images/3_27.png']","['images/images/3_1.png', 'images/images/3_13.png', 'images/images/3_27.png']"
5,"[3, 3]",experiment,1.702453851699829,1,images/images/3_10.png,images/images/3_10.png,"['images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_9.png', 'images/images/3_27.png', 'images/images/3_3.png']","['images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_9.png', 'images/images/3_27.png', 'images/images/3_10.png']"
4,"[3, 3]",experiment,0.9997351169586182,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_10.png', 'images/images/3_3.png', 'images/images/3_27.png', 'images/images/3_13.png']","['images/images/3_10.png', 'images/images/3_3.png', 'images/images/3_1.png', 'images/images/3_13.png']"
4,"[3, 3]",experiment,2.01589298248291,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_9.png', 'images/images/3_1.png', 'images/images/3_26.png', 'images/images/3_10.png']","['images/images/3_9.png', 'images/images/3_1.png', 'images/images/3_3.png', 'images/images/3_10.png']"
6,"[3, 3]",experiment,1.5304551124572754,0,images/images/3_2.png,images/images/3_10.png,"['images/images/3_26.png', 'images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_2.png']","['images/images/3_26.png', 'images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_16.png', 'images/images/3_10.png', 'images/images/3_2.png']"
5,"[3, 3]",experiment,1.1098580360412598,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_26.png', 'images/images/3_27.png', 'images/images/3_3.png', 'images/images/3_13.png', 'images/images/3_14.png']","['images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_3.png', 'images/images/3_13.png', 'images/images/3_14.png']"
3,"[3, 3]",experiment,1.133465051651001,1,images/images/3_10.png,images/images/3_10.png,"['images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_13.png']","['images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_10.png']"
4,"[3, 3]",experiment,1.2350621223449707,1,images/images/3_13.png,images/images/3_13.png,"['images/images/3_27.png', 'images/images/3_2.png', 'images/images/3_3.png', 'images/images/3_14.png']","['images/images/3_27.png', 'images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_14.png']"
4,"[3, 3]",experiment,1.6833529472351074,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_10.png', 'images/images/3_14.png', 'images/images/3_27.png', 'images/images/3_2.png']","['images/images/3_10.png', 'images/images/3_14.png', 'images/images/3_27.png', 'images/images/3_3.png']"
6,"[3, 3]",experiment,,-1,,images/images/3_9.png,"['images/images/3_1.png', 'images/images/3_10.png', 'images/images/3_3.png', 'images/images/3_26.png', 'images/images/3_16.png', 'images/images/3_14.png']","['images/images/3_1.png', 'images/images/3_10.png', 'images/images/3_9.png', 'images/images/3_26.png', 'images/images/3_16.png', 'images/images/3_14.png']"
6,"[3, 3]",experiment,0.9400968551635742,1,images/images/3_13.png,images/images/3_13.png,"['images/images/3_26.png', 'images/images/3_9.png', 'images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_1.png']","['images/images/3_26.png', 'images/images/3_9.png', 'images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_13.png']"
3,"[3, 3]",experiment,0.9407808780670166,0,images/images/3_9.png,images/images/3_13.png,"['images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_9.png']","['images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_9.png']"
