trigger_no,trigger_type,acc,n,block_type
# 0:02:56.771716  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:56.774880  | info     | Clear message sent to EEG.
# 0:02:58.792538  | info     | Value: 8 sent to EEG.
# 0:02:58.792592  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:58.795787  | info     | Clear message sent to EEG.
# 0:03:00.820202  | info     | Value: 9 sent to EEG.
# 0:03:00.820270  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:00.823654  | info     | Clear message sent to EEG.
# 0:03:02.360599  | info     | Value: 10 sent to EEG.
# 0:03:02.360641  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:02.363808  | info     | Clear message sent to EEG.
# 0:03:03.549156  | info     | Value: 11 sent to EEG.
# 0:03:03.549173  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:03.552473  | info     | Clear message sent to EEG.
# 0:03:05.070178  | info     | Value: 12 sent to EEG.
# 0:03:05.070214  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:05.073385  | info     | Clear message sent to EEG.
# 0:03:07.091067  | info     | Value: 13 sent to EEG.
# 0:03:07.091125  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:07.094308  | info     | Clear message sent to EEG.
# 0:03:09.116532  | info     | Value: 14 sent to EEG.
# 0:03:09.116587  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:09.119772  | info     | Clear message sent to EEG.
# 0:03:10.258893  | info     | Value: 15 sent to EEG.
# 0:03:10.258929  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:10.262097  | info     | Clear message sent to EEG.
# 0:03:12.435768  | info     | Value: 16 sent to EEG.
# 0:03:12.435785  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:12.438963  | info     | Clear message sent to EEG.
# 0:03:13.959154  | info     | Value: 17 sent to EEG.
